Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]
21137.089	21177.089	40.0
21137.757	21177.757	40.0
21138.377	21178.377	40.0
21146.693	21186.693	40.0
21147.748	21187.748	40.0
21148.879	21188.879	40.0
21156.297	21196.297	40.0
21157.744	21197.744	40.0
21159.381	21199.381	40.0
21577.301	21597.301	20.0
21577.483	21597.483	20.0
21579.179	21599.179	20.0
21586.853	21606.853	20.0
21587.474	21607.474	20.0
21589.688	21609.688	20.0
21997.254	22037.254	40.0
21997.311	22037.311	40.0
22000.234	22040.234	40.0
22006.852	22046.852	40.0
22007.244	22047.244	40.0
22010.798	22050.798	40.0
22016.393	22056.393	40.0
22017.236	22057.236	40.0
22021.362	22061.362	40.0
22025.934	22065.934	40.0
22027.232	22067.232	40.0
22031.926	22071.926	40.0
22167.141	22187.141	20.0
22169.238	22189.238	20.0
22169.361	22189.361	20.0
22177.136	22197.136	20.0
22178.928	22198.928	20.0
22179.8	22199.8	20.0
22706.845	22736.845	30.0
22708.42	22738.42	30.0
22709.176	22739.176	30.0
22716.839	22746.839	30.0
22718.09	22748.09	30.0
22719.781	22749.781	30.0
22726.829	22756.829	30.0
22727.76	22757.76	30.0
22730.386	22760.386	30.0
23016.646	23116.646	100.0
23017.432	23117.432	100.0
23018.842	23118.842	100.0
23026.641	23126.641	100.0
23028.061	23128.061	100.0
23028.562	23128.562	100.0
23036.633	23136.633	100.0
23038.282	23138.282	100.0
23038.69	23138.69	100.0
23046.649	23146.649	100.0
23048.002	23148.002	100.0
23049.319	23149.319	100.0
23056.643	23156.643	100.0
23057.722	23157.722	100.0
23059.948	23159.948	100.0
23066.635	23166.635	100.0
23067.442	23167.442	100.0
23070.577	23170.577	100.0
23076.632	23176.632	100.0
23077.162	23177.162	100.0
23081.206	23181.206	100.0
23086.619	23186.619	100.0
23086.882	23186.882	100.0
23091.835	23191.835	100.0
23096.602	23196.602	100.0
23096.608	23196.608	100.0
23102.464	23202.464	100.0
23106.322	23206.322	100.0
23106.603	23206.603	100.0
23164.692	23214.692	50.0
23166.238	23216.238	50.0
23166.551	23216.551	50.0
23174.437	23224.437	50.0
23176.545	23226.545	50.0
23176.852	23226.852	50.0
23184.182	23234.182	50.0
23186.567	23236.567	50.0
23187.466	23237.466	50.0
23193.927	23243.927	50.0
23196.558	23246.558	50.0
23198.08	23248.08	50.0
23203.672	23253.672	50.0
23206.548	23256.548	50.0
23208.694	23258.694	50.0
23664.77	23694.77	30.0
23666.288	23696.288	30.0
23670.28	23700.28	30.0
23675.355	23705.355	30.0
23676.284	23706.284	30.0
23679.972	23709.972	30.0
23685.94	23715.94	30.0
23686.269	23716.269	30.0
23689.664	23719.664	30.0
23882.962	23902.962	20.0
23886.164	23906.164	20.0
23887.032	23907.032	20.0
23892.629	23912.629	20.0
23896.153	23916.153	20.0
23897.598	23917.598	20.0
24075.726	24115.726	40.0
24076.042	24116.042	40.0
24076.916	24116.916	40.0
24085.345	24125.345	40.0
24086.029	24126.029	40.0
24087.444	24127.444	40.0
24094.964	24134.964	40.0
24096.017	24136.017	40.0
24097.972	24137.972	40.0
24104.523	24144.523	40.0
24106.013	24146.013	40.0
24108.5	24148.5	40.0
24412.828	24442.828	30.0
24415.843	24445.843	30.0
24418.662	24448.662	30.0
24423.298	24453.298	30.0
24425.838	24455.838	30.0
24428.136	24458.136	30.0
24433.768	24463.768	30.0
24435.832	24465.832	30.0
24437.61	24467.61	30.0
24795.62	24835.62	40.0
24797.256	24837.256	40.0
24799.966	24839.966	40.0
24805.61	24845.61	40.0
24806.733	24846.733	40.0
24810.456	24850.456	40.0
24815.602	24855.602	40.0
24816.21	24856.21	40.0
24820.946	24860.946	40.0
24825.598	24865.598	40.0
24825.687	24865.687	40.0
25081.904	25091.904	10.0
25083.555	25093.555	10.0
25085.438	25095.438	10.0
25385.281	25415.281	30.0
25387.407	25417.407	30.0
25388.872	25418.872	30.0
25395.272	25425.272	30.0
25396.991	25426.991	30.0
25399.409	25429.409	30.0
25405.262	25435.262	30.0
25406.575	25436.575	30.0
25409.946	25439.946	30.0
25735.038	25765.038	30.0
25735.078	25765.078	30.0
25738.084	25768.084	30.0
25744.745	25774.745	30.0
25745.07	25775.07	30.0
25748.681	25778.681	30.0
25754.452	25784.452	30.0
25755.066	25785.066	30.0
25759.278	25789.278	30.0
26534.624	26544.624	10.0
26535.229	26545.229	10.0
26536.045	26546.045	10.0
28880.052	28900.052	20.0
28883.243	28903.243	20.0
28885.221	28905.221	20.0
28889.746	28909.746	20.0
28893.238	28913.238	20.0
28895.742	28915.742	20.0
30461.659	30481.659	20.0
30462.323	30482.323	20.0
30464.475	30484.475	20.0
30471.283	30491.283	20.0
30472.319	30492.319	20.0
30475.107	30495.107	20.0
30662.216	30692.216	30.0
30663.357	30693.357	30.0
30666.23	30696.23	30.0
30672.212	30702.212	30.0
30672.952	30702.952	30.0
30676.839	30706.839	30.0
30682.2	30712.2	30.0
30682.548	30712.548	30.0
31056.997	31076.997	20.0
31057.149	31077.149	20.0
31061.975	31081.975	20.0
31066.752	31086.752	20.0
31067.508	31087.508	20.0
31071.971	31091.971	20.0
31076.367	31096.367	20.0
31230.192	31260.192	30.0
31231.897	31261.897	30.0
31235.394	31265.394	30.0
31239.802	31269.802	30.0
31241.887	31271.887	30.0
31245.888	31275.888	30.0
31249.412	31279.412	30.0
31251.876	31281.876	30.0
31252.473	31282.473	30.0
31256.382	31286.382	30.0
31411.773	31441.773	30.0
31412.782	31442.782	30.0
31413.684	31443.684	30.0
31421.769	31451.769	30.0
31422.392	31452.392	30.0
31424.16	31454.16	30.0
31431.791	31461.791	30.0
31432.002	31462.002	30.0
31434.636	31464.636	30.0
31738.249	31778.249	40.0
31739.647	31779.647	40.0
31741.594	31781.594	40.0
31748.732	31788.732	40.0
31749.262	31789.262	40.0
31751.586	31791.586	40.0
31758.877	31798.877	40.0
31759.215	31799.215	40.0
31761.572	31801.572	40.0
31768.492	31808.492	40.0
31769.698	31809.698	40.0
31771.566	31811.566	40.0
32308.572	32348.572	40.0
32311.27	32351.27	40.0
32312.438	32352.438	40.0
32318.238	32358.238	40.0
32321.26	32361.26	40.0
32323.196	32363.196	40.0
32327.904	32367.904	40.0
32331.249	32371.249	40.0
32333.954	32373.954	40.0
32337.57	32377.57	40.0
32341.246	32381.246	40.0
32344.712	32384.712	40.0
33040.842	33070.842	30.0
33042.835	33072.835	30.0
33043.599	33073.599	30.0
33050.832	33080.832	30.0
33052.499	33082.499	30.0
33054.32	33084.32	30.0
33060.829	33090.829	30.0
33062.163	33092.163	30.0
33065.041	33095.041	30.0
33257.678	33267.678	10.0
33260.723	33270.723	10.0
33265.137	33275.137	10.0
34629.914	34649.914	20.0
34633.684	34653.684	20.0
34634.525	34654.525	20.0
34639.904	34659.904	20.0
34644.1	34664.1	20.0
34644.188	34664.188	20.0
34978.069	35018.069	40.0
34979.711	35019.711	40.0
34982.102	35022.102	40.0
34988.536	35028.536	40.0
34989.707	35029.707	40.0
34991.753	35031.753	40.0
34999.003	35039.003	40.0
34999.692	35039.692	40.0
35001.404	35041.404	40.0
35009.47	35049.47	40.0
35009.687	35049.687	40.0
35011.055	35051.055	40.0
36634.407	36654.407	20.0
36638.288	36658.288	20.0
36638.754	36658.754	20.0
36644.009	36664.009	20.0
36648.745	36668.745	20.0
36648.906	36668.906	20.0
36653.611	36673.611	20.0
37008.538	37058.538	50.0
37010.493	37060.493	50.0
37012.729	37062.729	50.0
37018.53	37068.53	50.0
37020.181	37070.181	50.0
37023.482	37073.482	50.0
37028.522	37078.522	50.0
37029.869	37079.869	50.0
37034.235	37084.235	50.0
37038.512	37088.512	50.0
37039.557	37089.557	50.0
37044.988	37094.988	50.0
37048.501	37098.501	50.0
37049.245	37099.245	50.0
37233.797	37253.797	20.0
37238.405	37258.405	20.0
37238.802	37258.802	20.0
37243.527	37263.527	20.0
37248.396	37268.396	20.0
37249.575	37269.575	20.0
37253.257	37273.257	20.0
37554.957	37574.957	20.0
37558.2	37578.2	20.0
37561.731	37581.731	20.0
37564.687	37584.687	20.0
37568.191	37588.191	20.0
37572.435	37592.435	20.0
37796.571	37816.571	20.0
37798.059	37818.059	20.0
37798.333	37818.333	20.0
37807.221	37827.221	20.0
37808.052	37828.052	20.0
37808.054	37828.054	20.0
38313.275	38333.275	20.0
38314.409	38334.409	20.0
38317.778	38337.778	20.0
38322.966	38342.966	20.0
38324.914	38344.914	20.0
38327.774	38347.774	20.0
38332.657	38352.657	20.0
38345.924	38355.924	10.0
38347.757	38357.757	10.0
38352.018	38362.018	10.0
38457.695	38507.695	50.0
38458.388	38508.388	50.0
38461.139	38511.139	50.0
38467.688	38517.688	50.0
38468.058	38518.058	50.0
38471.61	38521.61	50.0
38477.678	38527.678	50.0
38477.728	38527.728	50.0
38482.081	38532.081	50.0
38487.398	38537.398	50.0
38487.669	38537.669	50.0
38492.552	38542.552	50.0
38497.068	38547.068	50.0
38497.661	38547.661	50.0
38603.383	38633.383	30.0
38607.599	38637.599	30.0
38607.742	38637.742	30.0
38613.048	38643.048	30.0
38617.59	38647.59	30.0
38618.214	38648.214	30.0
38622.713	38652.713	30.0
38627.588	38657.588	30.0
38628.686	38658.686	30.0
38632.378	38662.378	30.0
39174.257	39244.257	70.0
39177.28	39247.28	70.0
39180.22	39250.22	70.0
39184.768	39254.768	70.0
39187.272	39257.272	70.0
39189.796	39259.796	70.0
39195.279	39265.279	70.0
39197.257	39267.257	70.0
39199.372	39269.372	70.0
39205.79	39275.79	70.0
39207.251	39277.251	70.0
39208.917	39278.917	70.0
39216.305	39286.305	70.0
39217.243	39287.243	70.0
39218.462	39288.462	70.0
39226.82	39296.82	70.0
39227.239	39297.239	70.0
39228.007	39298.007	70.0
39237.225	39307.225	70.0
39237.335	39307.335	70.0
39237.552	39307.552	70.0
40442.894	40522.894	80.0
40444.309	40524.309	80.0
40446.519	40526.519	80.0
40453.665	40533.665	80.0
40453.977	40533.977	80.0
40456.515	40536.515	80.0
40463.645	40543.645	80.0
40464.436	40544.436	80.0
40466.538	40546.538	80.0
40473.313	40553.313	80.0
40475.207	40555.207	80.0
40476.528	40556.528	80.0
40482.981	40562.981	80.0
40485.978	40565.978	80.0
40486.519	40566.519	80.0
40492.649	40572.649	80.0
40496.509	40576.509	80.0
40496.749	40576.749	80.0
40502.317	40582.317	80.0
40506.506	40586.506	80.0
40507.52	40587.52	80.0
40511.985	40591.985	80.0
40516.493	40596.493	80.0
40518.291	40598.291	80.0
40566.451	40576.451	10.0
40570.013	40580.013	10.0
40734.833	40754.833	20.0
40735.085	40755.085	20.0
40736.373	40756.373	20.0
40744.552	40764.552	20.0
40745.998	40765.998	20.0
40746.363	40766.363	20.0
40926.245	40946.245	20.0
40929.243	40949.243	20.0
40931.487	40951.487	20.0
40936.267	40956.267	20.0
40938.965	40958.965	20.0
41221.735	41251.735	30.0
41225.49	41255.49	30.0
41226.089	41256.089	30.0
41231.495	41261.495	30.0
41236.075	41266.075	30.0
41236.357	41266.357	30.0
