event_type	start_time	end_time	duration	saccade_amplitude
Saccade	60850	60870	20	
Saccade	60900	60919	20	
Fixation	60919	61139	220	
Fixation	61159	61259	100	
Saccade	61259	61299	40	11.46
Fixation	61299	61429	130	
Saccade	61429	61459	30	6.85
Fixation	61459	61539	80	
Saccade	61579	61599	20	
Fixation	61599	61779	180	
Fixation	61939	63018	1079	
Saccade	63248	63288	40	
Fixation	63288	63808	520	
Saccade	63808	63818	10	2.61
Fixation	63818	64088	270	
Saccade	64088	64138	50	11.95
Fixation	64138	64258	120	
Fixation	64477	66186	1709	
Saccade	66186	66206	20	
Fixation	66496	66826	330	
Saccade	66826	66866	40	11.34
Fixation	66866	67026	160	
Saccade	67026	67056	30	7.11
Fixation	67056	67366	310	
Saccade	67366	67406	40	9.06
Fixation	67406	67516	110	
Saccade	67516	67546	30	
Saccade	67586	67606	20	
Saccade	67646	67666	20	
Saccade	67716	67736	20	
Saccade	67775	67795	20	
Fixation	67845	67995	150	
Saccade	67995	68025	30	5.01
Fixation	68025	68255	230	
Saccade	68255	68305	50	11.74
Fixation	68305	68465	160	
Saccade	68465	68485	20	3.99
Fixation	68485	68685	200	
Saccade	68685	68715	30	6.65
Fixation	68715	68835	120	
Saccade	68835	68875	40	11.97
Fixation	68875	69115	240	
Saccade	69115	69135	20	5.35
Fixation	69135	69275	140	
Saccade	69465	69505	40	
Fixation	69505	69624	120	
Saccade	69624	69644	20	4.37
Fixation	69644	69814	170	
Saccade	69814	69864	50	15.79
Fixation	69864	70054	190	
Saccade	70054	70074	20	3.66
Fixation	70074	70154	80	
Fixation	70174	70294	120	
Saccade	70464	70494	30	
Fixation	70494	70564	70	
Saccade	70564	70584	20	4.62
Fixation	70584	70934	350	
Saccade	70934	70964	30	5.58
Fixation	70964	71134	170	
Saccade	71134	71184	50	9.99
Fixation	71184	71413	230	
Saccade	71413	71433	20	
Fixation	71553	71723	170	
Saccade	71723	71753	30	4.39
Fixation	71753	71823	70	
Saccade	71823	71903	80	
Saccade	71923	71943	20	
Saccade	71963	71993	30	
Saccade	72003	72043	40	
Saccade	72093	72113	20	
Fixation	72113	72313	200	
Fixation	72533	73062	530	
Saccade	73062	73112	50	
Saccade	73232	73252	20	
Fixation	73392	73492	100	
Saccade	73562	73612	50	
Fixation	73612	73892	280	
Saccade	73892	73932	40	11.77
Fixation	73932	74072	140	
Fixation	74112	74731	620	
Fixation	74851	75371	520	
Fixation	75471	75681	210	
Saccade	75681	75691	10	3.75
Fixation	75691	76051	360	
Saccade	76051	76071	20	3.37
Fixation	76071	76251	180	
Saccade	76251	76271	20	
Saccade	76470	76490	20	
Fixation	76490	76570	80	
Fixation	76590	76690	100	
Saccade	76690	76710	20	2.37
Fixation	76710	77390	680	
Fixation	77510	77780	270	
Fixation	77800	77990	190	
Fixation	78169	78569	400	
Saccade	78569	78609	40	8.43
Fixation	78609	79149	540	
Fixation	79189	79349	160	
Saccade	79429	79449	20	
Fixation	79449	79619	170	
Saccade	79619	79649	30	5.56
Fixation	79649	79998	350	
Saccade	79998	80028	30	1.31
Fixation	80028	80268	240	
Saccade	80288	80328	40	
Saccade	80378	80398	20	
Saccade	80428	80438	10	
Saccade	80448	80468	20	
Saccade	80508	80518	10	
Saccade	80568	80588	20	
Fixation	80588	81008	420	
Fixation	81188	81328	140	
Saccade	81328	81418	90	25.73
Fixation	81418	81657	240	
Saccade	81657	81687	30	7.68
Fixation	81687	81917	230	
Saccade	81917	81957	40	2.01
Fixation	81957	82187	230	
Saccade	82187	82207	20	
Saccade	82417	82427	10	
Fixation	82427	82677	250	
Saccade	82677	82697	20	4.17
Fixation	82697	82837	140	
Fixation	82877	83107	230	
Saccade	83107	83117	10	2.6
Fixation	83117	83326	210	
Saccade	83326	83346	20	4.1
Fixation	83346	83526	180	
Saccade	83526	83546	20	4.57
Fixation	83546	83796	250	
Saccade	83796	83826	30	5.4
Fixation	83826	83946	120	
Saccade	83946	83976	30	5.41
Fixation	83976	84116	140	
Saccade	84116	84126	10	
Saccade	84366	84376	10	
Fixation	84376	84686	310	
Saccade	84686	84716	30	2.86
Fixation	84716	85005	290	
Saccade	85005	85035	30	8.0
Fixation	85035	85365	330	
Saccade	85365	85395	30	4.81
Fixation	85395	85595	200	
Saccade	85595	85715	120	
Saccade	85735	85765	30	
Saccade	85775	85825	50	
Saccade	85835	85845	10	
Saccade	85875	85895	20	
Saccade	86085	86095	10	
Fixation	86095	86994	899	
Saccade	87144	87174	30	
Saccade	87334	87364	30	
Saccade	87414	87434	20	
Fixation	87434	87904	470	
Saccade	87904	87914	10	6.62
Fixation	87914	88024	110	
Saccade	88024	88034	10	2.98
Fixation	88034	88164	130	
Fixation	88184	88254	70	
Fixation	88453	90053	1599	
Fixation	90212	90682	470	
Saccade	90682	90732	50	
Saccade	90952	90992	40	
Saccade	91032	91062	30	
Saccade	91072	91092	20	
Fixation	91092	91252	160	
Saccade	91252	91282	30	
Saccade	91322	91342	20	
Fixation	91342	91462	120	
Saccade	91462	91502	40	11.68
Fixation	91502	91682	180	
Saccade	91682	91702	20	5.82
Fixation	91702	91851	150	
Saccade	91851	91871	20	6.61
Fixation	91871	92001	130	
Saccade	92001	92021	20	7.11
Fixation	92021	92511	490	
Saccade	92511	92531	20	8.92
Fixation	92531	92731	200	
Saccade	92731	92751	20	
Saccade	92761	92781	20	
Fixation	92781	92891	110	
Fixation	93051	93710	660	
Saccade	93710	93720	10	3.43
Fixation	93720	93830	110	
Saccade	93830	93850	20	4.89
Fixation	93850	93980	130	
Saccade	93980	94000	20	4.53
Fixation	94000	94310	310	
Saccade	94580	94590	10	
Fixation	94590	95030	440	
Saccade	95030	95050	20	
Fixation	95289	95689	400	
Fixation	95709	96869	1159	
