Recording	Participant	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	100	36314	36424	110			0.50505	0.52303	2.36638										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	101	36464	36594	130			0.51567	0.49967	2.35678										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	102	36644	36724	80			0.51892	0.48052	2.35275										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	103	36744	36833	90			0.50457	0.47373	2.39164										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	104	36873	36993	120			0.4959	0.44792	2.4398										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	105	37013	37123	110			0.49754	0.40838	2.47424										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	106	37143	37233	90			0.4931	0.39268	2.47752										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	107	37293	37403	110			0.48352	0.35001	2.48692										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	108	37443	37523	80			0.47956	0.3196	2.48468										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	109	37613	37683	70			0.47849	0.28342	2.49212										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	110	37723	37823	100			0.48319	0.26559	2.49878										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	111	37863	38602	740			0.48924	0.25288	2.4855										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	112	38672	39072	400			0.4871	0.26512	2.49163										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	113	39112	39292	180			0.48225	0.2787	2.48455										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	114	39372	39472	100			0.48105	0.28603	2.50242										
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	26	39472	39522	50							236.45	258.22				0.48105	0.28603		
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	115	39982	40062	80			0.57585	0.04552	2.44423										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	116	40082	40521	440			0.57099	0.05653	2.41898										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	117	40641	42120	1479			0.56924	0.07078	2.44919										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	118	42140	43390	1249			0.57606	0.03771	2.59923										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	119	43410	43640	230			0.56362	0.04787	2.68888										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	120	43679	43749	70			0.54977	0.05059	2.65914										
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	27	43749	43769	20							136.66	136.66				0.54977	0.05059		
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	28	43899	43939	40							112.42	119.83							
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	29	43969	43989	20							124.43	124.43						0.54193	0.36181
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	121	43989	44069	80			0.54193	0.36181	2.59412										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	122	44089	44509	420			0.47934	0.38587	2.65091										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	123	44529	44899	370			0.44255	0.393	2.54545										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	124	44939	45738	800			0.43214	0.39989	2.63468										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	125	45758	45888	130			0.41383	0.41697	2.6408										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	126	45928	46588	660			0.40643	0.44178	2.61201										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	127	46628	46718	90			0.41659	0.44762	2.52217										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	128	46758	46888	130			0.40708	0.45458	2.5351										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	129	46948	47437	490			0.41591	0.44772	2.53181										
TK09	Thomas	Entire Recording	1	fullstream	Saccade	Partial	30	47477	47497	20							316.17	316.17						0.4264	0.46718
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	130	47497	48037	540			0.4264	0.46718	2.55457										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	131	48077	48567	490			0.41695	0.45297	2.55137										
TK09	Thomas	Entire Recording	1	fullstream	Fixation	Partial	132	48607	49476	870			0.42066	0.45137	2.57328										
