event_type	start_time	end_time	duration	saccade_amplitude
Saccade	74951	74961	10	
Saccade	75141	75161	20	
Saccade	75191	75221	30	
Saccade	75251	75271	20	
Saccade	75301	75311	10	
Fixation	75311	76161	850	
Fixation	76301	76780	480	
Fixation	76940	77080	140	
Saccade	77120	77140	20	
Saccade	77300	77350	50	
Fixation	77350	77500	150	
Fixation	77520	77600	80	
Saccade	77770	77820	50	
Saccade	77840	77860	20	
Fixation	77860	77960	100	
Saccade	78000	78030	30	
Saccade	78269	78279	10	
Fixation	78279	78439	160	
Saccade	78439	78459	20	3.91
Fixation	78459	78609	150	
Saccade	78609	78659	50	11.36
Fixation	78659	78869	210	
Saccade	78869	78889	20	4.26
Fixation	78889	78969	80	
Saccade	78969	78989	20	
Saccade	78999	79069	70	
Fixation	79069	79259	190	
Saccade	79429	79439	10	
Saccade	79479	79489	10	
Fixation	79489	79769	280	
Saccade	79769	79799	30	8.15
Fixation	79799	80268	470	
Saccade	80268	80338	70	17.91
Fixation	80338	80458	120	
Fixation	80558	80838	280	
Fixation	81038	81248	210	
Saccade	81248	81288	40	12.54
Fixation	81288	81717	430	
Saccade	81717	81727	10	1.75
Fixation	81727	81907	180	
Saccade	81907	81947	40	3.37
Fixation	81947	82297	350	
Fixation	82457	83117	660	
Fixation	83127	83257	130	
Saccade	83556	83576	20	
Saccade	83586	83616	30	
Saccade	83676	83756	80	
Saccade	83766	83776	10	
Saccade	83786	83846	60	
Saccade	83896	83936	40	
Fixation	83936	84016	80	
Fixation	84176	84266	90	
Saccade	84266	84286	20	5.61
Fixation	84286	84486	200	
Saccade	84486	84606	120	19.54
Fixation	84606	84726	120	
Saccade	84726	84766	40	10.77
Fixation	84766	84916	150	
Saccade	84916	84946	30	1.76
Fixation	84946	85935	989	
Fixation	86075	86675	600	
Saccade	86755	86844	90	
Fixation	86844	86924	80	
Saccade	86924	86994	70	
Saccade	87114	87134	20	
Fixation	87134	87214	80	
Saccade	87214	87244	30	5.15
Fixation	87244	87734	490	
Fixation	87834	87924	90	
Saccade	87924	87954	30	6.49
Fixation	87954	88224	270	
Saccade	88224	88264	40	8.01
Fixation	88264	88474	210	
Saccade	88713	88753	40	
Saccade	88773	88813	40	
Fixation	88833	88963	130	
Saccade	88963	88983	20	
Fixation	89053	89153	100	
Saccade	89153	89183	30	9.21
Fixation	89183	89253	70	
Saccade	89373	89413	40	
Fixation	89413	89613	200	
Saccade	89613	89623	10	
Saccade	89823	89833	10	
Fixation	89833	89953	120	
Saccade	89953	90053	100	17.66
Fixation	90053	90262	210	
Saccade	90262	90312	50	16.46
Fixation	90312	90482	170	
Saccade	90482	90522	40	4.82
Fixation	90522	90592	70	
Saccade	90592	90632	40	
Saccade	90642	90662	20	
Saccade	90682	90702	20	
Saccade	90722	90742	20	
Fixation	90742	90892	150	
Saccade	90892	90922	30	
Saccade	91162	91172	10	
Saccade	91182	91202	20	
Fixation	91202	91322	120	
Saccade	91322	91342	20	
Saccade	91372	91392	20	
Fixation	91392	91462	70	
Saccade	91462	91492	30	6.04
Fixation	91492	91772	280	
Saccade	91792	91842	50	
Fixation	91842	92011	170	
Fixation	92031	92241	210	
Saccade	92241	92271	30	
Saccade	92291	92311	20	
Saccade	92331	92351	20	
Fixation	92351	92491	140	
Fixation	92591	92721	130	
Saccade	92721	92791	70	
Saccade	92831	92851	20	
Saccade	92861	92901	40	
Fixation	92901	93011	110	
Saccade	93151	93171	20	17.3
Fixation	93171	93351	180	
Saccade	93351	93361	10	4.45
Fixation	93361	93601	240	
Saccade	93601	93630	30	7.71
Fixation	93630	93750	120	
Fixation	93850	94150	300	
Saccade	94150	94170	20	3.59
Fixation	94170	94430	260	
Fixation	94590	95589	999	
Saccade	95789	95829	40	
Saccade	95839	95849	10	
Saccade	95859	95889	30	
Saccade	95909	95929	20	
Saccade	95939	95979	40	
Saccade	96029	96039	10	
Fixation	96039	96339	300	
Saccade	96339	96379	40	4.53
Fixation	96379	96709	330	
Fixation	96809	97088	280	
Saccade	97088	97098	10	3.99
Fixation	97098	97248	150	
Fixation	97388	97598	210	
Saccade	97598	97628	30	
Saccade	97638	97658	20	
Fixation	97658	97758	100	
Saccade	97758	97778	20	3.51
Fixation	97778	97958	180	
Saccade	97958	97978	20	4.34
Fixation	97978	98268	290	
Saccade	98268	98288	20	
Saccade	98328	98348	20	
Saccade	98368	98388	20	
Fixation	98388	98558	170	
Saccade	98558	98638	80	
Fixation	98658	98748	90	
Saccade	98748	98758	10	4.28
