start_time	end_time	Carton	IFU	Instructions	Phone	Pump Unit	ReservoirUnit	YpsoPod	skin
86.486	86.576	454.4	1600.0	242.9	0.0	1600.0	1600.0	1600.0	1600.0
86.619	87.179	471.2	1600.0	276.5	0.0	1600.0	1600.0	748.5	1600.0
87.219	88.248	528.2	1600.0	340.4	0.0	1600.0	1600.0	197.0	1600.0
88.285	88.835	347.1	1600.0	170.1	35.0	1600.0	1600.0	0.0	22.2
90.475	90.635	607.3	1600.0	411.5	0.0	1600.0	1600.0	243.0	247.7
90.654	90.864	581.5	1600.0	380.9	0.0	1600.0	1600.0	214.0	225.3
90.934	91.494	359.6	1600.0	188.4	22.0	1600.0	1600.0	0.0	36.7
91.553	92.073	561.9	1600.0	377.4	0.0	1600.0	1600.0	206.3	217.3
92.113	92.223	299.2	1600.0	167.3	88.0	1600.0	1600.0	16.0	1600.0
92.267	92.687	302.7	1600.0	162.6	83.0	1600.0	1600.0	1600.0	1600.0
92.706	93.216	343.9	1600.0	163.3	0.0	1600.0	1600.0	1600.0	775.2
93.263	93.483	359.7	1600.0	154.5	0.0	1600.0	1600.0	1600.0	1600.0
93.525	93.695	341.7	1600.0	134.4	0.0	1600.0	1600.0	1600.0	1600.0
93.716	94.066	419.5	1600.0	263.4	0.0	1600.0	1600.0	1600.0	1600.0
94.082	94.462	447.0	1600.0	297.8	0.0	1600.0	1600.0	764.8	1600.0
94.486	94.656	449.8	1600.0	330.8	0.0	1600.0	1600.0	785.7	146.1
94.684	95.334	335.7	1600.0	184.3	26.0	1600.0	1600.0	1600.0	0.0
95.351	96.51	379.3	1600.0	199.1	37.6	1600.0	0.0	1600.0	1600.0
96.725	96.815	736.4	1600.0	585.2	9.0	1600.0	375.0	1600.0	746.3
96.833	97.563	717.3	1600.0	559.8	0.0	1600.0	351.0	1600.0	346.5
97.594	97.764	482.6	1600.0	337.9	0.0	1600.0	115.0	1600.0	767.0
97.85	97.93	457.0	1600.0	268.2	0.0	1600.0	1600.0	1600.0	747.1
98.082	98.312	520.2	1600.0	319.9	0.0	1600.0	1600.0	1600.0	162.7
98.353	98.453	649.4	1600.0	477.2	22.6	1600.0	1600.0	1600.0	1600.0
98.474	98.584	578.2	1600.0	396.3	0.0	1600.0	1600.0	1600.0	1600.0
98.902	99.252	492.5	1600.0	319.5	0.0	1600.0	1600.0	1600.0	743.9
99.323	99.593	560.5	1600.0	390.9	0.0	1600.0	1600.0	1600.0	731.3
99.599	99.869	496.1	1600.0	330.5	0.0	1600.0	1600.0	1600.0	188.0
99.892	100.002	522.3	1600.0	354.4	0.0	1600.0	1600.0	1600.0	201.0
100.043	100.273	529.6	1600.0	369.1	0.0	1600.0	1600.0	1600.0	200.1
100.289	100.679	564.1	1600.0	400.7	0.0	1600.0	1600.0	1600.0	223.3
100.721	101.381	357.6	1600.0	205.4	39.0	1600.0	1600.0	1600.0	0.0
101.482	101.682	608.2	1600.0	439.5	0.0	1600.0	236.0	1600.0	726.8
101.697	101.807	612.7	1600.0	446.2	0.0	1600.0	1600.0	1600.0	252.7
101.872	101.982	629.0	1600.0	464.8	0.0	1600.0	1600.0	1600.0	311.1
101.997	102.227	633.3	1600.0	461.1	18.0	1600.0	1600.0	1600.0	708.2
102.267	102.377	596.7	1600.0	423.5	28.0	1600.0	1600.0	1600.0	711.4
102.541	102.801	514.1	1600.0	342.2	0.0	1600.0	1600.0	1600.0	1600.0
102.821	103.071	488.0	1600.0	323.6	0.0	1600.0	1600.0	1600.0	1600.0
103.088	103.498	487.2	1600.0	316.8	0.0	1600.0	1600.0	1600.0	749.4
103.517	103.677	510.1	1600.0	348.8	0.0	1600.0	1600.0	1600.0	211.0
103.796	104.176	515.2	1600.0	358.7	0.0	1600.0	1600.0	1600.0	191.0
104.199	104.309	487.5	1600.0	333.7	0.0	1600.0	1600.0	1600.0	150.6
104.366	104.966	346.5	1600.0	196.9	50.0	1600.0	4.0	1600.0	2.8
105.057	105.677	339.5	1600.0	179.0	0.0	1600.0	1600.0	1600.0	1600.0
105.719	105.929	302.9	1600.0	138.4	0.0	1600.0	1600.0	1600.0	1600.0
105.949	106.249	379.2	1600.0	223.7	0.0	1600.0	1600.0	1600.0	1600.0
106.304	107.233	438.7	1600.0	277.4	0.0	1600.0	1600.0	1600.0	1600.0
107.257	107.477	514.1	1600.0	354.0	0.0	1600.0	1600.0	747.4	197.0
107.554	107.784	537.4	1600.0	380.6	0.0	1600.0	1600.0	1600.0	211.0
107.808	107.938	510.3	1600.0	350.6	0.0	1600.0	1600.0	744.2	178.0
107.955	108.285	483.0	1600.0	320.4	0.0	1600.0	1600.0	1600.0	175.0
108.304	108.664	391.5	1600.0	318.5	0.0	1600.0	1600.0	1600.0	80.0
108.688	109.398	397.4	1600.0	458.2	0.0	1600.0	1600.0	1600.0	1600.0
109.483	109.783	289.3	1600.0	326.1	0.0	1600.0	1600.0	1600.0	1600.0
109.807	110.017	369.5	1600.0	387.3	0.0	1600.0	1600.0	1600.0	1600.0
110.057	110.147	354.3	1600.0	382.8	0.0	1600.0	1600.0	1600.0	1600.0
110.186	110.296	328.1	1600.0	412.2	0.0	1600.0	1600.0	1600.0	1600.0
110.312	110.452	311.6	1600.0	385.4	0.0	1600.0	1600.0	1600.0	1600.0
110.476	111.016	282.1	1600.0	360.2	0.0	1600.0	1600.0	1600.0	1600.0
111.036	111.266	290.4	1600.0	379.0	0.0	1600.0	1600.0	1600.0	1600.0
111.302	111.432	245.7	1600.0	355.9	0.0	1600.0	1600.0	1600.0	1600.0
111.474	112.034	337.4	1600.0	389.5	0.0	1600.0	1600.0	1600.0	1600.0
112.054	112.264	334.9	1600.0	447.5	20.5	1600.0	1600.0	1600.0	1600.0
112.281	112.661	304.9	1600.0	371.6	0.0	1600.0	1600.0	1600.0	1600.0
112.724	113.244	315.9	1600.0	361.2	0.0	1600.0	1600.0	1600.0	1600.0
113.284	113.914	329.8	1600.0	400.0	0.0	1600.0	1600.0	1600.0	1600.0
113.955	114.035	343.4	1600.0	392.2	0.0	1600.0	1600.0	1600.0	1600.0
114.062	114.192	448.3	1600.0	448.4	1.0	1600.0	1600.0	1600.0	1600.0
114.255	114.515	433.3	1600.0	412.6	0.0	1600.0	1600.0	1600.0	1600.0
114.534	114.724	417.7	1600.0	394.7	0.0	1600.0	1600.0	1600.0	1600.0
114.751	115.011	302.5	1600.0	282.3	0.0	1600.0	1600.0	1600.0	1600.0
115.051	115.231	318.3	1600.0	288.1	0.0	1600.0	1600.0	1600.0	1600.0
115.321	115.471	341.3	1600.0	281.6	0.0	1600.0	1600.0	1600.0	1600.0
115.504	115.714	456.1	1600.0	335.6	0.0	1600.0	1600.0	1600.0	1600.0
115.749	116.249	432.5	1600.0	274.9	0.0	1600.0	1600.0	1600.0	1600.0
116.27	116.42	322.0	1600.0	187.0	0.0	1600.0	1600.0	1600.0	1600.0
116.443	116.553	334.6	1600.0	194.6	3.0	1600.0	1600.0	1600.0	0.0
116.571	117.001	351.3	1600.0	198.4	0.0	1600.0	1600.0	1600.0	0.0
117.041	117.721	350.8	1600.0	189.9	6.0	1600.0	1600.0	1600.0	0.0
117.838	118.128	669.0	1600.0	492.4	0.0	1600.0	1600.0	1600.0	334.0
118.138	118.228	721.9	1600.0	551.4	45.0	1600.0	1600.0	1600.0	396.0
118.251	118.541	674.4	1600.0	508.5	0.0	1600.0	1600.0	1600.0	347.0
118.562	118.922	548.5	1600.0	371.8	0.0	1600.0	1600.0	1600.0	201.4
118.987	119.177	317.6	1600.0	167.4	75.0	1600.0	1600.0	1600.0	7.0
119.199	120.178	352.7	1600.0	165.8	0.0	1600.0	1600.0	1600.0	1600.0
120.241	120.351	352.0	1600.0	171.7	0.0	1600.0	1600.0	1600.0	1600.0
120.501	120.671	497.4	1600.0	313.2	0.0	1600.0	1600.0	1600.0	1600.0
120.687	120.967	449.3	1600.0	275.2	0.0	1600.0	1600.0	1600.0	1600.0
121.051	121.301	462.5	1600.0	300.2	0.0	1600.0	1600.0	1600.0	1600.0
121.316	121.576	517.0	1600.0	352.1	0.0	1600.0	1600.0	1600.0	200.0
121.597	121.807	560.3	1600.0	387.3	0.0	1600.0	1600.0	1600.0	243.7
121.82	122.25	492.3	1600.0	327.3	0.0	1600.0	1600.0	1600.0	1600.0
122.305	122.935	371.7	1600.0	338.1	0.0	1600.0	1600.0	1600.0	1600.0
