event_type	start_time	end_time	duration	saccade_amplitude
Saccade	82916	82926	10	
Saccade	82956	82966	10	
Fixation	82966	83296	330	
Saccade	83296	83306	10	8.24
Fixation	83306	83556	250	
Fixation	83636	84166	530	
Fixation	84206	84435	230	
Saccade	84435	84465	30	
Saccade	84495	84545	50	
Saccade	84565	84665	100	
Saccade	84725	84755	30	
Fixation	84755	85105	350	
Fixation	85185	85395	210	
Saccade	85395	85415	20	
Saccade	85455	85475	20	
Fixation	85475	86134	660	
Saccade	86184	86214	30	
Saccade	86354	86384	30	
Saccade	86404	86454	50	
Fixation	86454	86794	340	
Fixation	86954	88073	1119	
Fixation	88233	88563	330	
Saccade	88563	88613	50	
Saccade	88633	88663	30	
Saccade	88683	88693	10	
Saccade	88703	88773	70	
Fixation	88953	89772	820	
Saccade	89772	89792	20	5.12
Fixation	89792	89992	200	
Saccade	89992	90012	20	1.28
Fixation	90012	90152	140	
Fixation	90172	90332	160	
Fixation	90432	90712	280	
Fixation	90732	91102	370	
Saccade	91162	91211	50	
Saccade	91271	91291	20	
Fixation	91291	91421	130	
Saccade	91421	91431	10	2.17
Fixation	91431	91531	100	
Fixation	91591	91831	240	
Saccade	91831	91851	20	4.44
Fixation	91851	92011	160	
Saccade	92011	92051	40	8.76
Fixation	92051	92591	540	
Fixation	92731	93070	340	
Fixation	93090	93160	70	
Saccade	93160	93170	10	4.82
Fixation	93170	93330	160	
Fixation	93510	93730	220	
Saccade	93730	93770	40	8.88
Fixation	93770	94110	340	
Saccade	94110	94150	40	
Fixation	94210	94410	200	
Fixation	94649	95079	430	
Saccade	95079	95169	90	
Saccade	95209	95229	20	
Saccade	95239	95249	10	
Saccade	95259	95269	10	
Saccade	95299	95349	50	
Fixation	95469	95589	120	
Saccade	95589	95679	90	32.93
Fixation	95679	96159	480	
Saccade	96159	96308	150	
Saccade	96328	96348	20	
Fixation	96468	96908	440	
Fixation	96988	97138	150	
Fixation	97158	97268	110	
Saccade	97268	97298	30	5.74
Fixation	97298	97438	140	
Fixation	97458	97548	90	
Saccade	97548	97558	10	2.74
Fixation	97558	97668	110	
Fixation	97868	98107	240	
Saccade	98197	98217	20	
Fixation	98217	98407	190	
Saccade	98427	98467	40	
Fixation	98467	98647	180	
Fixation	98687	98907	220	
Fixation	98987	99217	230	
Fixation	99277	99597	320	
Fixation	99756	100066	310	
Fixation	100086	100186	100	
Fixation	100206	100376	170	
Saccade	100376	100386	10	2.87
Fixation	100386	100806	420	
Fixation	100876	101485	610	
